Time [s],Position [m],Velocity [m/s],Force (acc) [N],Force (rgb) [N],Force (pnb) [N],Energy [kWh],CPU Time [s]
796.3052799,26590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
807.8569204,26911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
811.046087,27000,27.77777778,17913.99997,0,0,440.1406149,6.994639
818.6903463,27212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
832.3052797,27590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
843.8569203,27911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
847.0460868,28000,27.77777778,17913.99997,0,0,440.1406149,6.994639
854.6903461,28212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
868.3052796,28590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
879.8569201,28911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
883.0460866,29000,27.77777778,17913.99997,0,0,440.1406149,6.994639
890.6903459,29212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
904.3052794,29590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
915.8569199,29911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
919.0460864,30000,27.77777778,17913.99997,0,0,440.1406149,6.994639
926.6903458,30212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
940.3052792,30590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
951.8569197,30911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
955.0460862,31000,27.77777778,17913.99997,0,0,440.1406149,6.994639
962.6903456,31212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
976.305279,31590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
987.8569195,31911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
991.0460861,32000,27.77777778,17913.99997,0,0,440.1406149,6.994639
998.6903454,32212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
1012.305279,32590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
1023.856919,32911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
1027.046086,33000,27.77777778,17913.99997,0,0,440.1406149,6.994639
1034.690345,33212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
1048.305279,33590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
1059.856919,33911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
1063.046086,34000,27.77777778,17913.99996,0,0,440.1406149,6.994639
1070.690345,34212.34054,27.77777778,17913.99996,0,0,440.1406149,6.994639
1084.305278,34590.53314,27.77777778,17913.99996,0,0,440.1406149,6.994639
1095.856919,34911.41204,27.77777778,17913.99996,0,0,440.1406149,6.994639
1099.046086,35000,27.77777778,17913.99996,0,0,440.1406149,6.994639
1099.046086,35000,27.77777792,112653.9726,0,0,440.1406149,6.994639
1105.677839,35189.10907,29.23784327,107028.3127,0,0,440.1406149,6.994639
1117.956062,35563.44379,31.68288733,98768.68223,0,0,440.1406149,6.994639
1130.603339,35978.50372,33.91446613,92269.68277,0,0,440.1406149,6.994639
1139.19295,36275.83231,35.29207715,88667.97547,0,0,440.1406149,6.994639
1141.372317,36353.1,35.62584931,87837.26115,0,0,440.1406149,6.994639
1144.719973,36473.20489,36.12684062,86619.17225,0,0,440.1406149,6.994639
1149.265423,36638.92511,36.78541258,85068.42272,0,0,440.1406149,6.994639
1150.687386,36691.375,36.98651058,84605.89727,0,0,440.1406149,6.994639
1153.918005,36811.47989,37.32622816,54781.35521,0,0,440.1406149,6.994639
1158.350109,36977.20011,37.37295413,5955.25162,0,0,440.1406149,6.994639
1159.755032,37029.65,37.27357265,56151.19567,0,0,440.1406149,6.994639
1161.679801,37101.4795,37.34956157,33032.67647,0,0,440.1406149,6.994639
1165.104349,37229.4126,37.34956157,25192.52611,0,0,440.1406149,6.994639
1168.011029,37337.95791,37.34956157,27306.93161,0,0,440.1406149,6.994639
1168.813187,37367.925,37.34956157,26702.91206,0,0,440.1406149,6.994639
1172.028884,37488.02989,37.34956157,26702.91009,0,0,440.1406149,6.994639
1176.46589,37653.75011,37.34956157,26702.91025,0,0,440.1406149,6.994639
1177.870187,37706.2,37.34956157,26702.91107,0,0,440.1406149,6.994639
1180.5168,37805.04981,37.34956158,26702.9117,0,0,440.1406149,6.994639
1186.230384,38018.44966,37.34956157,26702.90947,0,0,440.1406149,6.994639
1193.858637,38303.36157,37.34956157,26702.91152,0,0,440.1406149,6.994639
1201.889908,38603.32602,37.34956157,26702.90923,0,0,440.1406149,6.994639
1208.733598,38858.93485,37.34956157,26702.91279,0,0,440.1406149,6.994639
1213.036114,39019.63194,37.34956157,26702.9023,0,0,440.1406149,6.994639
1214.09819,39059.3,37.34956154,28593.94687,0,0,440.1406149,6.994639
1215.715189,39119.6942,37.34956158,25911.76244,0,0,440.1406149,6.994639
1219.328291,39254.64198,37.34956157,27349.02187,0,0,440.1406149,6.994639
1224.489278,39447.40258,37.34956157,26077.81551,0,0,440.1406149,6.994639
1230.575167,39674.7079,37.34956157,27384.8321,0,0,440.1406149,6.994639
1236.851833,39909.13859,37.34956157,25864.46756,0,0,440.1406149,6.994639
1242.562224,40122.4192,37.34956157,27902.32955,0,0,440.1406149,6.994639
1247.01772,40288.83003,37.34956157,24507.27331,0,0,440.1406149,6.994639
1249.682061,40388.342,37.34956157,34101.75378,0,0,440.1406149,6.994639
1250.326192,40412.4,37.36792303,30.14613352,0,0,440.1406149,6.994639
1252.977551,40511.24981,37.19762125,0.000328707,0,0,440.1406149,6.994639
1258.742955,40724.64966,36.83097433,0,0,0,440.1406149,6.994639
1266.530255,41009.56157,36.34407277,0,0,0,440.1406149,6.994639
1274.842186,41309.52602,35.83446921,0,0,0,440.1406149,6.994639
1282.01859,41565.13485,35.40269815,0,0,0,440.1406149,6.994639
1286.575137,41725.83194,35.13235606,0,0,0,440.1406149,6.994639
1287.705313,41765.5,35.06576331,0,0,0,440.1406149,6.994639
1295.955751,42052.81798,34.58494047,0,0,0,440.1406149,6.994639
1310.937262,42564.55039,33.73516372,0,0,0,440.1406149,6.994639
1323.946004,42998.73163,33.02058025,0,0,0,440.1406149,6.994639
1327.58695,43118.6,32.82430485,0,0,0,440.1406149,6.994639
1336.403313,43405.91798,32.35557211,0,0,0,440.1406149,6.994639
1352.425653,43917.65039,31.52660016,0,0,0,440.1406149,6.994639
1366.352417,44351.83163,30.82891959,0,0,0,440.1406149,6.994639
1370.252741,44471.7,30.63718697,0,0,0,440.1406149,6.994639
1379.701689,44759.01798,30.17912095,0,0,0,440.1406149,6.994639
1396.890431,45270.75039,29.36835409,0,0,0,440.1406149,6.994639
1411.849239,45704.93163,28.68529819,0,0,0,440.1406149,6.994639
1416.041722,45824.8,28.49746647,0,0,0,440.1406149,6.994639
1419.519894,45923.64981,28.34280558,0,0,0,440.1406149,6.994639
1427.093761,46137.04966,28.00962788,0,0,0,440.1406149,6.994639
1437.347105,46421.96157,27.5662619,0,0,0,440.1406149,6.994639
1448.321577,46721.92602,27.10119817,0,0,0,440.1406149,6.994639
1457.822658,46977.53485,26.70622972,0,0,0,440.1406149,6.994639
1463.867961,47138.23194,26.45851514,0,0,0,440.1406149,6.994639
1465.368949,47177.9,26.39743533,0,0,0,440.1406149,6.994639
1469.93482,47298.00489,26.21266255,0,0,0,440.1406149,6.994639
1476.287873,47463.72511,25.9581025,0,0,0,440.1406149,6.994639
1478.31157,47516.175,25.87762647,0,0,0,440.1406149,6.994639
1480.140797,47563.45227,25.80673539,0,0,0,440.1406149,6.994639
1483.77833,47657.03595,25.65833321,0,0,0,440.1406149,6.994639
1487.834955,47760.80093,25.4569076,0,-19979.80731,0,440.1406149,6.994639
1490.7812,47835.13308,24.90207076,0,-125663.3258,0,440.1406149,6.994639
1491.560904,47854.45,24.58765527,0,-127270.2499,0,440.1406149,6.994639
1493.510492,47901.72727,23.90874778,0,-130884.1877,0,440.1406149,6.994639
1497.546715,47995.31095,22.45237693,0,-139373.9755,0,440.1406149,6.994639
1502.363741,48099.07593,20.60634843,0,-151859.8524,0,440.1406149,6.994639
1506.109499,48173.40808,19.0682244,0,-164109.5136,0,440.1406149,6.994639
1507.134178,48192.725,18.62843884,0,-167983.8584,0,440.1406149,6.994639
1508.777653,48222.75122,17.90335107,0,-174787.2239,0,440.1406149,6.994639
1511.165008,48264.18128,16.80091086,0,-186256.3915,0,440.1406149,6.994639
1511.954044,48277.29375,16.42196785,0,-190554.3269,0,440.1406149,6.994639
1513.835314,48307.31997,15.48238722,0,-202118.5097,0,440.1406149,6.994639
1516.645712,48348.75003,14.00298158,0,-213900,0,440.1406149,6.994639
1517.598791,48361.8625,13.48593716,0,-213900,0,440.1406149,6.994639
1518.967917,48379.81987,12.7495158,0,-213900,0,440.1406149,6.994639
1521.624656,48411.80315,11.32277636,0,-213900,0,440.1406149,6.994639
1524.17615,48438.93948,9.956535133,0,-213900,0,440.1406149,6.994639
1524.943917,48446.43125,9.545539934,0,-213900,0,440.1406149,6.994639
1525.748366,48453.93781,9.115435026,0,-213900,0,440.1406149,6.994639
1526.925407,48464.29532,8.486743183,0,-213900,0,440.1406149,6.994639
1527.316362,48467.57344,8.277942759,0,-213900,0,440.1406149,6.994639
1528.25114,48475.07999,7.778962472,0,-213900,0,440.1406149,6.994639
1529.650268,48485.43751,7.03318514,0,-213900,0,440.1406149,6.994639
1530.124503,48488.71563,6.780234044,0,-213900,0,440.1406149,6.994639
1530.80489,48493.20497,6.417793682,0,-213900,0,440.1406149,6.994639
1532.122567,48501.20079,5.716045896,0,-213900,0,440.1406149,6.994639
1533.383842,48507.98487,5.045165127,0,-213900,0,440.1406149,6.994639
1533.762399,48509.85781,4.843694497,0,-213900,0,440.1406149,6.994639
1533.922105,48510.62438,4.758787314,0,-213900,0,440.1406149,6.994639
1534.293154,48512.35426,4.56140294,0,-213900,0,440.1406149,6.994639
1534.864512,48514.87225,4.257838436,0,-213900,0,440.1406149,6.994639
1535.617953,48517.93165,3.85710932,0,-213900,0,440.1406149,6.994639
1536.532222,48521.23294,3.371869899,0,-213900,0,440.1406149,6.994639
1537.570979,48524.45295,2.819462232,0,-213900,0,440.1406149,6.994639
1538.692604,48527.27651,2.225189163,0,-213900,0,440.1406149,6.994639
1539.803929,48529.42729,1.633614117,0,-213900,0,440.1406149,6.994639
1540.719915,48530.69529,1.150332548,0,-213900,0,440.1406149,6.994639
1541,48531,1,0,-213900,0,440.1406149,6.994639
